X,Y
-15.22461281,28594083250
-42.87147889,1.03E+12
35.50886192,-2.73E+11
-40.56466519,7.23E+11
4.956787619,-57831725981
41.55251266,-9.01E+11
2.201157881,-21685930727
-44.80345157,1.50E+12
-5.909104012,36251270143
19.11892293,62488111082
-23.86224608,61624786027
39.59075394,-5.93E+11
-4.028757125,1585641045
-26.79809582,49951006434
-30.40571104,1.61E+11
34.96938449,-2.42E+11
24.16085606,32004334993
16.22153604,-2867259522
-39.29116004,4.73E+11
33.61729207,-2.10E+11
-4.508461468,6646952827
15.06299481,-33952898422
40.44225854,-7.10E+11
-38.92943749,4.67E+11
10.38295087,-33718022716
-48.36175337,2.43E+12
-40.87895985,7.51E+11
40.56716526,-7.00E+11
4.761897858,28321554551
14.42063114,51816078893
-26.41230993,86256307278
12.05736358,-21928746524
-42.10177275,1.01E+12
14.57511005,4110368039
-32.37001942,99432878897
11.89247781,-47285043910
47.03241584,-2.08E+12
16.91934682,-65906457516
-16.81886731,66313378909
-4.211298415,-13139884311
-47.5050654,2.23E+12
2.310463687,-25674716843
48.91919586,-2.61E+12
22.33636969,6283180164
-10.30552687,-47176353515
9.072981587,39873437151
7.317989151,30188178887
0.767429168,-77971695156
-35.44536144,2.11E+11
-20.90512692,13902291530
0.114407162,-35106946291
-35.81301492,2.76E+11
-9.361659855,38230813675
9.310318496,14902456143
30.93799448,-55797266214
-2.940104027,14788879921
17.4121679,70999360447
25.71795574,-47341280310
-31.79002094,1.38E+11
11.96391769,-3329155988
26.99270782,-35080215365
-7.891373706,-54575458942
-6.101123462,34773729387
-1.121979847,-31938944809
-28.3167039,7756780655
33.29123841,-53016853833
0.154387633,-51825510438
-39.72683237,5.10E+11
-13.564009,-14247170942
32.08020243,-1.84E+11
-37.71564747,5.24E+11
14.93587465,24748904322
23.6624715,-2794142807
21.06649401,-27591157671
-39.46650653,5.93E+11
45.86044678,-1.80E+12
-7.630711991,-32874164813
6.0113444,55040111659
-40.12172289,6.09E+11
-1.688234178,-38874288501
-34.63752365,2.65E+11
-19.15301667,19672381857
-36.90836337,4.12E+11
-15.64813991,47437833277
16.30603762,-17693066877
1.62026634,1.19E+11
29.66668869,-87673254868
7.659556778,44295925457
-43.312604,1.14E+12
-25.15175775,38409385747
40.86794362,-8.34E+11
38.95084738,-5.25E+11
48.98061585,-2.72E+12
-17.63445454,-71735899400
48.74204651,-2.60E+12
11.38647653,-1.16E+11
15.20815257,18476738976
10.13460943,50800850146
29.77943278,-1.14E+11
11.04465664,21347021795
-12.27613193,16051992205
-32.53533915,1.21E+11
-44.00857953,1.28E+12
-34.76473553,1.86E+11
-11.6581412,34475780093
-48.6916133,2.64E+12
46.53735311,-1.89E+12
-18.18131155,-23832657760
45.56036534,-1.53E+12
-47.10402822,1.97E+12
-10.28211933,71899797393
-22.21899832,55119546395
-13.81469026,56726777593
28.04533052,10941916610
-5.433598335,-1.26E+11
-44.26877419,1.36E+12
-45.20056597,1.54E+12
3.081487559,1913652058
26.67680609,-74649730194
11.46291943,-81219718523
43.24328826,-1.18E+12
28.15767479,-37459562774
25.49027409,-24953267086
-17.37828434,31368457474
2.198125969,39087944634
14.55793047,-56104928596
1.123845476,-748410479
16.21000933,24067701369
-26.86901786,-903275847.3
48.25692927,-2.36E+12
-41.40805151,8.78E+11
-8.732158531,-18914690157
48.52842297,-2.53E+12
-1.474119018,31041936498
11.18721768,-32811001487
-48.87795456,2.57E+12
26.85515178,-18777651840
24.15595426,-15642043935
-28.26532516,-2923815756
-10.26786026,68272270389
-23.74361268,43202428644
-42.13613803,9.40E+11
-27.98802564,82240981865
-1.501498773,4940206574
1.529623625,-30521414873
33.90091673,-2.91E+11
-8.684793318,-21415782932
-9.782442755,17395766796
45.26869252,-1.61E+12
-16.49018242,-49555634330
-36.62497979,4.21E+11
19.54364431,29745080266
42.27734213,-9.29E+11
-1.247536099,-1.07E+11
0.569244868,-27547489334
-49.53742394,2.99E+12
-31.15312516,1.31E+11
27.96394438,-1.56E+11
11.08259497,44299235864
29.24568605,-68665901937
33.79004491,-1.48E+11
18.73583994,-90558521345
-41.85658999,9.45E+11
30.6140569,-1.22E+11
-36.52230047,3.69E+11
6.991434901,-99815295964
7.469150627,26500856932
-48.38972492,2.36E+12
43.48283158,-1.16E+12
11.47800266,178772853.4
16.85748903,1641042788
-7.822719105,43058528722
20.27671736,-25731892978
-2.930336413,-20501716327
-9.110706695,9771674706
