X1,X2,X3,Y
0.498947686,-0.366004014,1,0
0.683141556,0.195757675,1,1
0.676011573,-0.750832755,1,0
0.932291341,0.776063737,1,1
0.803033814,-0.955717986,1,0
0.660724815,0.190380893,1,1
0.640834976,-0.633510221,1,0
0.17463162,0.327807819,1,0
0.252534518,0.160391147,1,0
0.553021715,0.100879129,1,1
0.514699383,0.010869524,1,1
0.933852607,-1.240425987,1,0
0.667059578,0.191417345,1,1
0.469436955,0.004704691,1,1
0.022667196,1.0086327,1,1
0.883918925,0.641670499,1,1
0.466159598,-0.241037875,1,0
0.623336656,0.139589965,1,1
0.536233367,-0.385345163,1,0
0.297685034,0.173564671,1,1
0.194312127,0.306249423,1,0
0.421352967,0.109191284,1,1
0.597931378,0.101914742,1,1
0.185241074,0.282749655,1,0
0.642446307,0.152425337,1,1
0.608836544,-0.554832469,1,0
0.030769648,0.960629309,1,1
0.391828344,0.111365411,1,1
0.631174244,-0.630162104,1,0
0.577027708,-0.542006331,1,0
0.273268014,0.240217017,1,1
0.854049843,0.56591928,1,1
0.428934876,0.034331791,1,1
0.922305271,0.750766709,1,1
0.949987765,-1.230779114,1,0
0.505621484,0.002936182,1,1
0.09051208,0.736342674,1,1
0.619584312,-0.555973235,1,0
0.159281133,0.341728864,1,0
0.375705613,-0.122369723,1,0
0.257183516,0.312531263,1,1
0.962864584,0.954094929,1,1
0.859940623,0.538018178,1,1
0.048359064,0.59930708,1,0
0.593127303,0.094735452,1,1
0.862871617,-1.029040957,1,0
0.42338135,-0.158321309,1,0
0.793622998,-0.917741737,1,0
0.78082932,0.399396417,1,1
0.502501992,0.089843334,1,1
0.680872554,-0.724023302,1,0
0.72671836,0.207852426,1,1
0.535044278,-0.444183868,1,0
0.601530754,-0.578369646,1,0
0.232246006,0.161344199,1,0
0.373366881,-0.05202799,1,0
0.724108271,0.261422265,1,1
0.467749465,0.071158093,1,1
0.543734148,0.020893479,1,1
0.172294341,0.451048933,1,1
0.991106955,-1.300483871,1,0
0.099467976,0.451515919,1,0
0.376923098,-0.081788723,1,0
0.493754133,0.053082566,1,1
0.76974031,-0.870220367,1,0
0.879476002,0.594013313,1,1
0.974212158,0.990439736,1,1
0.016004973,0.576959972,1,0
0.770991815,-0.939967827,1,0
0.977587535,0.999650327,1,1
0.709274109,-0.817505997,1,0
0.737599542,0.259842255,1,1
0.099721497,0.684059209,1,1
0.642368952,0.087874792,1,1
0.76026939,0.311043511,1,1
0.656048093,0.191349538,1,1
0.203725152,0.243043844,1,0
0.61146763,0.142195575,1,1
0.345085994,-0.037728584,1,0
0.349843566,0.166344971,1,1
0.52472971,-0.400008494,1,0
0.793134988,0.418949253,1,1
0.93490468,-1.198698142,1,0
0.739272469,-0.858802936,1,0
0.633399163,0.107791635,1,1
0.993693361,-1.336084789,1,0
0.735907829,-0.817708514,1,0
0.751089882,0.343490637,1,1
0.098504422,0.412049999,1,0
0.396301964,-0.111208276,1,0
0.733816102,-0.841117723,1,0
0.377606835,0.133265992,1,1
0.458895084,-0.308099004,1,0
0.058483257,0.781211617,1,1
0.918649178,0.786127877,1,1
0.127558282,0.386580696,1,0
0.565231296,-0.475535267,1,0
0.83746913,0.520048632,1,1
0.600515016,-0.541640237,1,0
0.868439387,-1.078435845,1,0
0.42787129,-0.246086641,1,0
0.900406655,0.728226687,1,1
0.073609879,0.789511006,1,1
0.091721163,0.514063883,1,0
0.960632541,-1.272118069,1,0
0.774038883,0.355116511,1,1
0.183692821,0.256904826,1,0
0.236359395,0.155277722,1,0
0.720158626,0.217550924,1,1
0.471920139,0.08371565,1,1
0.600060228,0.132653036,1,1
0.161226053,0.282865264,1,0
0.883531466,0.662534728,1,1
0.127452782,0.431464014,1,0
0.454140019,0.068985309,1,1
0.003160538,0.634720308,1,0
0.185301838,0.286577982,1,0
0.623067577,-0.630211578,1,0
0.795425709,-0.971883944,1,0
0.653291488,-0.702708605,1,0
0.943774545,0.884414553,1,1
0.778796759,0.343666349,1,1
0.749897288,0.342483024,1,1
0.870776357,0.640301523,1,1
0.748728049,-0.846325739,1,0
0.369146567,-0.113552993,1,0
0.548197977,0.05508145,1,1
0.760011445,-0.872675584,1,0
0.676239135,0.164226766,1,1
0.870271375,0.599360724,1,1
0.681324912,-0.68282539,1,0
0.28310564,0.194715955,1,1
0.74221749,-0.826792246,1,0
0.978074536,0.93968609,1,1
0.923533602,-1.236317772,1,0
0.832578726,-1.060639052,1,0
0.7711728,-0.913407564,1,0
0.263173355,0.287181151,1,1
0.371067473,0.152326706,1,1
0.546563239,-0.42560885,1,0
0.448859139,-0.268412868,1,0
0.692213081,0.231631911,1,1
0.95098694,0.872764964,1,1
0.059082655,0.486708233,1,0
0.109198492,0.619116569,1,1
0.558954719,-0.49999742,1,0
0.642797913,-0.671542475,1,0
0.031096049,0.977912538,1,1
0.839480904,0.485761861,1,1
0.83206199,-0.997671477,1,0
0.96849473,0.926673498,1,1
0.751037574,-0.841377862,1,0
0.039211936,0.924767457,1,1
0.030900955,0.968744175,1,1
0.444438957,0.033223886,1,1
0.570558564,0.102584454,1,1
0.487911211,-0.317325684,1,0
0.924630866,-1.183405266,1,0
0.278721393,0.251021297,1,1
0.029403129,0.550347578,1,0
0.444052552,-0.199891251,1,0
0.149243886,0.57370778,1,1
